num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,24,30,13,8,17,15
2,23,30,6,5,24,18
2,23,30,9,3,21,19
2,24,30,8,2,22,22
2,19,30,11,0,19,19
2,21,30,10,5,20,15
2,24,30,6,0,24,24
2,12,30,12,12,18,2
2,19,30,11,0,19,19
2,21,30,9,0,21,21
2,22,30,14,8,16,15
2,23,30,11,8,19,15
2,18,30,12,0,18,18
2,25,30,12,10,18,15
2,27,30,13,11,17,16
2,21,30,9,0,21,21
2,18,30,12,0,18,18
2,20,30,12,5,18,15
2,23,30,8,1,22,22
2,20,30,10,0,20,20
2,20,30,11,10,19,10
2,18,30,12,0,18,18
2,26,30,6,3,24,23
2,22,30,13,6,17,16
2,21,30,10,3,20,18
2,21,30,8,5,22,16
2,21,30,12,8,18,13
2,21,30,9,1,21,20
2,20,30,13,10,17,10
2,17,30,6,4,24,13
2,23,30,8,4,22,19
2,27,30,8,6,22,21
2,24,30,9,3,21,21
2,24,30,6,0,24,24
2,22,30,8,1,22,21
2,29,30,10,10,20,19
2,20,30,12,2,18,18
2,23,30,11,6,19,16
2,23,30,10,6,20,17
2,22,30,11,5,19,17
2,18,30,12,0,18,18
2,29,30,12,11,18,18
2,20,30,9,6,21,14
2,18,30,14,5,16,12
2,23,30,11,10,19,13
2,24,30,14,11,16,13
2,26,30,9,5,21,21
2,24,30,13,8,17,16
2,15,30,15,14,15,0
2,23,30,10,4,20,19
2,26,30,9,6,21,20
2,20,30,16,8,14,12
2,26,30,8,5,22,21
2,27,30,5,4,25,23
2,26,30,4,0,26,26
2,25,30,8,7,22,18
2,27,30,14,12,16,15
2,25,30,11,6,19,19
2,18,30,14,6,16,13
2,26,30,8,5,22,21
2,23,30,14,8,16,15
2,8,30,10,8,20,0
2,21,30,9,0,21,21
2,24,30,9,5,21,19
2,19,30,11,0,19,19
2,27,30,7,5,23,22
2,10,30,10,9,20,1
2,22,30,11,10,19,12
2,24,30,8,3,22,21
2,23,30,11,6,19,17
2,25,30,10,5,20,20
2,26,30,7,5,23,22
2,25,30,10,5,20,20
2,23,30,10,4,20,19
2,27,30,3,0,27,27
2,24,30,11,7,19,18
2,26,30,6,5,24,21
2,22,30,9,4,21,20
2,21,30,10,2,20,19
2,26,30,12,9,18,17
2,23,30,8,2,22,21
2,21,30,10,8,20,13
2,26,30,12,8,18,18
2,24,30,10,4,20,20
2,23,30,9,6,21,18
2,28,30,5,5,25,23
2,19,30,10,6,20,12
2,23,30,13,8,17,16
2,19,30,10,2,20,16
2,19,30,9,0,21,19
2,16,30,14,0,16,15
2,18,30,14,2,16,16
2,20,30,15,8,15,13
2,22,30,10,3,20,19
2,24,30,7,2,23,22
2,11,30,11,11,19,0
2,22,30,9,5,21,18
2,23,30,8,3,22,20
2,21,30,8,0,22,21
2,14,30,11,3,19,11
2,26,30,8,7,22,18
2,22,30,10,3,20,19
2,21,30,10,3,20,18
2,24,30,8,5,22,18
3,56,60,21,17,39,39
3,48,60,10,6,50,42
3,43,60,21,10,39,31
3,45,60,18,6,42,38
3,50,60,27,16,33,31
3,56,60,22,17,38,37
3,32,60,25,3,35,31
3,44,60,16,0,44,44
3,43,60,17,2,43,38
3,49,60,16,5,44,44
3,46,60,21,8,39,37
3,45,60,16,11,44,34
3,56,60,19,15,41,39
3,42,60,20,6,40,36
3,54,60,18,12,42,42
3,50,60,17,9,43,36
3,47,60,28,18,32,30
3,49,60,18,11,42,37
3,45,60,23,14,37,32
3,50,60,15,8,45,42
3,47,60,22,13,38,33
3,20,60,20,17,40,7
3,44,60,22,11,38,34
3,49,60,19,11,41,39
3,56,60,10,6,50,50
3,35,60,26,3,34,34
3,18,60,18,16,42,1
3,40,60,20,0,40,40
3,47,60,20,9,40,38
3,46,60,22,9,38,37
3,46,60,27,16,33,30
3,39,60,22,2,38,36
3,46,60,18,13,42,34
3,41,60,16,9,44,32
3,44,60,22,8,38,36
3,52,60,23,15,37,36
3,41,60,9,4,51,36
3,55,60,15,8,45,45
3,38,60,22,11,38,30
3,55,60,18,15,42,40
3,41,60,21,4,39,38
3,46,60,13,7,47,40
3,42,60,21,7,39,33
3,49,60,16,6,44,43
3,51,60,22,14,38,37
3,44,60,18,2,42,42
3,53,60,14,7,46,46
3,48,60,20,12,40,35
3,49,60,15,4,45,44
3,50,60,23,13,37,37
3,42,60,22,4,38,38
3,42,60,19,5,41,37
3,49,60,17,7,43,42
3,50,60,20,12,40,38
3,52,60,18,15,42,36
3,42,60,25,13,35,29
3,46,60,16,11,44,38
3,48,60,16,5,44,43
3,46,60,18,7,42,39
3,46,60,19,5,41,41
3,45,60,15,1,45,45
3,44,60,20,4,40,40
3,54,60,14,11,46,42
3,42,60,19,7,41,34
3,46,60,20,8,40,37
3,41,60,23,4,37,36
3,19,60,19,18,41,4
3,47,60,19,7,41,41
3,30,60,26,5,34,26
3,38,60,21,7,39,32
3,52,60,19,13,41,38
3,39,60,24,5,36,34
3,47,60,19,7,41,40
3,55,60,23,18,37,37
3,48,60,20,9,40,37
3,33,60,21,7,39,26
3,45,60,25,10,35,35
3,40,60,22,3,38,37
3,51,60,20,11,40,39
3,27,60,27,9,33,18
3,36,60,24,0,36,35
3,41,60,27,12,33,28
3,46,60,18,6,42,41
3,35,60,25,1,35,34
3,38,60,30,12,30,26
3,41,60,19,0,41,40
3,46,60,14,0,46,46
3,48,60,14,9,46,40
3,48,60,20,15,40,34
3,46,60,14,0,46,46
3,36,60,26,2,34,34
3,57,60,14,13,46,43
3,19,60,19,16,41,3
3,43,60,18,5,42,38
3,52,60,20,12,40,39
3,46,60,18,5,42,41
3,49,60,15,4,45,45
3,41,60,25,12,35,29
3,50,60,22,12,38,36
3,48,60,21,10,39,37
3,48,60,24,14,36,34
3,43,60,17,0,43,43
3,49,60,20,10,40,37
3,51,60,16,6,44,44
3,37,60,21,3,39,35
3,50,60,19,12,41,38
3,39,60,21,2,39,38
3,49,60,18,9,42,39
3,46,60,19,9,41,37
3,51,60,21,16,39,35
3,50,60,18,11,42,35
3,47,60,22,12,38,35
3,45,60,17,2,43,43
3,51,60,22,15,38,36
3,56,60,19,15,41,41
3,55,60,14,10,46,46
3,40,60,22,7,38,33
3,49,60,19,10,41,38
3,41,60,20,1,40,40
3,45,60,23,12,37,34
3,41,60,20,2,40,38
3,47,60,20,10,40,38
3,42,60,18,1,42,41
3,44,60,18,9,42,33
3,47,60,19,10,41,36
3,53,60,23,16,37,36
3,38,60,22,0,38,38
3,52,60,26,19,34,34
3,47,60,28,16,32,29
3,51,60,19,10,41,40
3,42,60,22,7,38,35
3,46,60,19,6,41,41
3,48,60,20,13,40,37
3,44,60,16,1,44,43
3,48,60,22,13,38,34
3,42,60,21,6,39,38
3,47,60,20,8,40,40
3,32,60,18,5,42,28
3,41,60,22,7,38,32
3,51,60,27,18,33,31
3,43,60,26,9,34,34
3,52,60,18,12,42,40
3,42,60,22,6,38,37
3,42,60,17,1,43,41
3,39,60,24,5,36,35
3,43,60,18,2,42,41
3,46,60,20,7,40,38
3,50,60,18,10,42,41
3,42,60,25,9,35,34
3,49,60,27,18,33,31
3,42,60,18,0,42,41
3,44,60,24,14,36,31
3,43,60,26,14,34,30
3,18,60,18,18,42,4
3,50,60,11,2,49,48
3,54,60,14,7,46,46
3,52,60,15,8,45,44
3,47,60,18,6,42,41
3,42,60,18,0,42,42
3,47,60,17,4,43,42
3,42,60,18,0,42,42
3,48,60,20,8,40,40
3,43,60,16,14,44,30
3,50,60,13,7,47,40
3,46,60,19,6,41,39
3,51,60,22,15,38,37
3,43,60,17,0,43,42
3,39,60,21,2,39,38
3,42,60,25,13,35,28
3,51,60,17,9,43,42
3,45,60,21,15,39,31
3,48,60,14,6,46,43
3,43,60,16,7,44,36
3,38,60,24,12,36,27
3,35,60,28,3,32,32
3,24,60,24,24,36,5
3,47,60,19,7,41,40
3,47,60,19,13,41,34
3,47,60,16,6,44,41
3,52,60,21,13,39,39
3,44,60,24,13,36,30
3,41,60,19,0,41,41
3,52,60,19,11,41,41
3,37,60,23,1,37,37
3,46,60,14,0,46,46
3,43,60,21,5,39,38
3,59,60,19,18,41,41
3,45,60,18,3,42,42
3,37,60,23,1,37,37
3,45,60,20,3,40,39
3,50,60,14,5,46,45
3,38,60,22,1,38,38
3,51,60,16,8,44,42
3,39,60,26,6,34,33
3,43,60,23,9,37,32
3,56,60,17,14,43,42
3,48,60,22,12,38,36
3,55,60,23,18,37,36
3,43,60,20,13,40,31
3,35,60,25,1,35,35
3,40,60,23,6,37,34
3,43,60,17,0,43,43
3,49,60,17,10,43,39
3,42,60,18,1,42,42
3,40,60,20,0,40,38
3,44,60,19,5,41,39
3,40,60,20,1,40,40
3,35,60,25,0,35,35
3,48,60,16,9,44,38
3,46,60,24,11,36,35
3,49,60,24,12,36,36
3,49,60,19,13,41,36
3,18,60,18,18,42,3
3,45,60,17,4,43,41
3,39,60,18,8,42,32
3,53,60,30,21,30,30
3,40,60,20,0,40,40
3,48,60,16,5,44,43
3,40,60,19,8,41,35
3,41,60,22,8,38,33
3,43,60,22,16,38,27
3,51,60,15,11,45,40
3,47,60,16,7,44,39
3,52,60,20,13,40,36
3,47,60,14,2,46,45
3,45,60,18,4,42,41
3,40,60,20,0,40,38
3,39,60,21,0,39,39
3,51,60,12,4,48,47
3,50,60,21,13,39,37
3,44,60,20,5,40,39
3,49,60,15,5,45,44
3,54,60,22,16,38,38
3,36,60,24,1,36,36
3,38,60,22,0,38,37
3,48,60,21,11,39,37
3,46,60,18,10,42,36
3,33,60,27,0,33,33
3,48,60,18,9,42,40
3,48,60,16,7,44,40
3,46,60,22,15,38,32
3,38,60,22,1,38,37
3,28,60,28,6,32,22
3,38,60,22,3,38,35
