num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,27,30,5,3,25,23
2,22,30,5,5,25,17
2,21,30,3,2,27,19
2,18,30,6,1,24,19
2,9,30,4,1,26,8
2,5,30,5,5,25,0
2,25,30,2,0,28,25
2,28,30,3,3,27,25
2,26,30,4,0,26,26
2,27,30,7,4,23,22
2,18,30,7,5,23,13
2,28,30,8,6,22,22
2,18,30,7,5,23,15
2,23,30,6,3,24,22
2,13,30,1,1,29,11
2,27,30,5,5,25,22
2,13,30,5,4,25,9
2,27,30,5,5,25,22
2,21,30,4,1,26,21
2,25,30,5,2,25,22
2,27,30,4,3,26,24
2,27,30,3,0,27,26
2,13,30,4,3,26,10
2,30,30,5,5,25,25
2,7,30,7,7,23,2
2,19,30,6,4,24,15
2,28,30,4,3,26,24
2,25,30,5,3,25,22
2,26,30,3,1,27,24
2,27,30,4,3,26,24
2,4,30,4,3,26,1
2,20,30,3,0,27,21
2,26,30,9,7,21,19
2,27,30,2,1,28,26
2,14,30,4,4,26,12
2,24,30,4,3,26,21
2,4,30,5,4,25,4
2,21,30,7,6,23,15
2,25,30,1,0,29,25
2,29,30,5,5,25,24
2,6,30,5,3,25,2
2,25,30,7,2,23,23
2,27,30,1,1,29,27
2,27,30,6,4,24,22
2,29,30,4,4,26,25
2,25,30,8,6,22,18
2,13,30,4,4,26,11
2,24,30,3,1,27,20
2,27,30,4,3,26,24
2,20,30,4,4,26,17
2,28,30,4,2,26,26
2,18,30,7,6,23,12
2,12,30,5,5,25,6
2,27,30,6,6,24,21
2,26,30,5,4,25,22
2,16,30,2,2,28,13
2,28,30,7,7,23,20
2,25,30,4,0,26,25
2,5,30,5,4,25,0
2,28,30,9,8,21,19
2,23,30,5,3,25,20
2,26,30,3,1,27,24
2,21,30,6,3,24,18
2,26,30,5,4,25,22
2,25,30,2,2,28,23
2,26,30,5,4,25,22
2,18,30,6,4,24,14
2,28,30,5,4,25,25
2,24,30,0,0,30,24
2,21,30,5,2,25,19
2,25,30,11,8,19,17
2,6,30,6,6,24,0
2,21,30,6,3,24,18
2,28,30,5,3,25,24
2,25,30,8,5,22,21
2,22,30,6,6,24,16
2,27,30,2,2,28,25
2,24,30,5,5,25,19
2,29,30,2,1,28,28
2,26,30,3,3,27,23
2,29,30,6,5,24,24
2,24,30,4,3,26,20
2,25,30,6,4,24,19
2,26,30,6,4,24,20
2,25,30,7,4,23,19
2,25,30,6,4,24,21
2,19,30,3,1,27,17
2,25,30,4,2,26,23
2,28,30,3,2,27,26
2,27,30,6,3,24,23
2,4,30,3,2,27,4
2,7,30,5,0,25,7
2,20,30,5,4,25,16
2,22,30,5,2,25,20
2,26,30,4,4,26,22
2,27,30,5,4,25,23
2,24,30,1,1,29,22
2,22,30,7,6,23,16
2,26,30,5,5,25,20
2,6,30,5,3,25,5
2,24,30,7,2,23,21
2,29,30,5,5,25,24
2,28,30,2,1,28,27
2,25,30,6,5,24,20
3,46,60,10,1,50,46
3,46,60,8,7,52,41
3,53,60,8,6,52,45
3,42,60,7,5,53,38
3,55,60,14,9,46,43
3,53,60,12,6,48,45
3,52,60,8,6,52,45
3,43,60,12,5,48,38
3,49,60,7,6,53,41
3,51,60,12,11,48,40
3,35,60,8,3,52,35
3,57,60,11,9,49,48
3,34,60,9,4,51,34
3,36,60,5,0,55,36
3,41,60,8,2,52,39
3,55,60,4,3,56,50
3,31,60,4,2,56,29
3,53,60,9,4,51,49
3,53,60,13,9,47,45
3,46,60,12,9,48,37
3,51,60,11,9,49,41
3,50,60,8,3,52,46
3,56,60,7,3,53,53
3,34,60,12,4,48,32
3,52,60,6,4,54,47
3,46,60,13,7,47,37
3,49,60,10,6,50,42
3,55,60,12,10,48,44
3,51,60,7,4,53,46
3,54,60,12,10,48,44
3,49,60,9,5,51,43
3,51,60,8,5,52,45
3,59,60,10,9,50,49
3,38,60,12,7,48,30
3,40,60,8,7,52,33
3,43,60,11,7,49,37
3,51,60,11,8,49,44
3,40,60,7,1,53,42
3,43,60,7,2,53,43
3,44,60,13,6,47,43
3,52,60,12,6,48,43
3,55,60,8,3,52,50
3,49,60,10,8,50,41
3,52,60,7,0,53,50
3,49,60,9,5,51,43
3,39,60,11,7,49,36
3,50,60,10,8,50,41
3,51,60,6,4,54,47
3,46,60,10,4,50,41
3,55,60,10,9,50,44
3,49,60,14,12,46,38
3,54,60,6,6,54,49
3,53,60,8,6,52,46
3,43,60,13,8,47,34
3,55,60,7,5,53,51
3,36,60,7,2,53,36
3,47,60,5,2,55,46
3,45,60,9,6,51,40
3,23,60,7,6,53,22
3,48,60,9,2,51,46
3,49,60,6,5,54,44
3,52,60,7,2,53,50
3,48,60,12,9,48,39
3,54,60,4,3,56,51
3,41,60,16,3,44,39
3,19,60,11,8,49,15
3,43,60,9,6,51,39
3,55,60,8,5,52,49
3,44,60,10,7,50,39
3,52,60,7,1,53,50
3,46,60,9,2,51,43
3,53,60,12,10,48,43
3,47,60,12,9,48,37
3,57,60,8,6,52,49
3,51,60,12,4,48,45
3,58,60,9,6,51,51
3,48,60,11,5,49,43
3,48,60,10,7,50,43
3,56,60,9,4,51,50
3,55,60,7,3,53,49
3,39,60,11,6,49,34
3,49,60,8,1,52,50
3,35,60,7,2,53,33
3,8,60,8,6,52,5
3,47,60,10,4,50,44
3,52,60,7,1,53,51
3,53,60,6,1,54,49
3,45,60,10,8,50,37
3,37,60,13,7,47,30
3,51,60,13,7,47,44
3,55,60,5,4,55,51
3,52,60,10,8,50,41
3,50,60,12,8,48,43
3,53,60,12,6,48,48
3,53,60,7,2,53,50
3,35,60,11,5,49,33
3,48,60,12,10,48,35
3,56,60,8,5,52,49
3,31,60,14,2,46,31
3,49,60,6,3,54,45
3,54,60,9,7,51,44
3,48,60,10,7,50,40
3,41,60,9,3,51,37
3,46,60,13,10,47,34
3,51,60,8,3,52,48
3,48,60,10,2,50,44
3,54,60,9,5,51,47
3,41,60,10,4,50,39
3,53,60,12,9,48,43
3,45,60,7,5,53,39
3,42,60,10,6,50,37
3,46,60,11,9,49,38
3,49,60,7,4,53,45
3,34,60,11,5,49,30
3,40,60,10,5,50,38
3,42,60,9,5,51,37
3,56,60,9,7,51,47
3,50,60,9,6,51,43
3,40,60,5,1,55,39
3,47,60,11,3,49,42
3,33,60,6,2,54,35
3,53,60,11,7,49,43
3,44,60,12,5,48,39
3,39,60,13,6,47,34
3,47,60,13,5,47,42
3,54,60,11,6,49,47
3,43,60,7,4,53,40
3,55,60,4,1,56,53
3,40,60,6,1,54,38
3,50,60,9,5,51,45
3,53,60,11,8,49,45
3,54,60,11,6,49,47
3,51,60,6,4,54,47
3,53,60,8,4,52,49
3,50,60,10,0,50,50
3,53,60,7,7,53,46
3,36,60,10,5,50,35
3,32,60,10,3,50,35
3,33,60,13,2,47,32
3,52,60,9,5,51,46
3,34,60,10,4,50,32
3,39,60,9,2,51,38
3,52,60,9,7,51,46
3,52,60,10,5,50,46
3,50,60,12,9,48,41
3,54,60,10,3,50,48
3,50,60,12,7,48,42
3,55,60,9,6,51,45
3,49,60,8,2,52,45
3,33,60,9,1,51,36
3,53,60,12,8,48,44
3,54,60,9,2,51,50
3,50,60,3,1,57,48
3,48,60,10,7,50,40
