,dataset,num,vi
0,dogs3,2,1.5763002215704391
1,dogs3,3,1.5201478577502723
2,dogs3,4,1.754269601817871
3,birds5,2,1.1792760992254676
4,birds5,3,1.069076761543861
5,birds5,4,1.2822771333488263
