K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
2,0.32898423075555977,I_2,2029,7577,0.26778408341032073,2029,0.26778408341032073,7577
2,0.02851598715557264,I_3,3575,15156,0.2358801794668778,2226,0.1468725257323832,5052
2,0.0,I_4,4486,22734,0.19732559162487903,1901,0.08361924870238409,3789
3,1.502075442921484,I_2,2008,7577,0.2650125379437772,2008,0.2650125379437772,7577
3,0.13345059147239435,I_3,3284,15156,0.21667986276062284,2283,0.15063341250989706,5052
3,0.026713901718178123,I_4,4367,22734,0.1920911410222574,2195,0.09655142077944928,3789
4,2.424197608984932,I_2,1992,7510,0.26524633821571236,1992,0.26524633821571236,7510
4,0.47087643216681435,I_3,3127,15021,0.2081752213567672,2328,0.1549830237667266,5007
4,0.12149352657299635,I_4,4105,22530,0.18220150909897914,2313,0.10266311584553928,3755
