K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
2,0.07934705870787548,I_2,4230,15154,0.279134221987594,4230,0.279134221987594,15154
2,0.0,I_3,7200,30177,0.2385923053981509,4383,0.14524306591112437,10059
2,0.0,I_4,5370,26640,0.20157657657657657,2302,0.08641141141141141,4440
3,0.40773368164316737,I_2,4038,15154,0.2664642998548238,4038,0.2664642998548238,15154
3,0.0,I_3,7157,32721,0.21872803398429144,4937,0.15088169676965862,10907
3,0.0,I_4,6365,33390,0.19062593590895477,3223,0.09652590595986822,5565
4,0.8968795898494952,I_2,3938,15020,0.26218375499334223,3938,0.26218375499334223,15020
4,0.02552895350184239,I_3,7098,34086,0.20823798627002288,5315,0.15592912046001292,11362
4,0.02552895350184239,I_4,6590,36624,0.17993665356050678,3682,0.10053516819571866,6104
