K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
2,0.09935617218114531,I_2,4107,15154,0.2710175531212881,4107,0.2710175531212881,15154
2,0.02851598715557264,I_3,3584,15156,0.23647400369490632,2202,0.14528899445764054,5052
2,0.02851598715557264,I_4,3031,15156,0.19998680390604381,1281,0.08452098178939034,2526
2,0.0,I_5,2459,15160,0.16220316622691294,815,0.053759894459102904,1516
2,0.0,I_6,2030,15165,0.13386086383119025,558,0.03679525222551929,1011
2,0.0,I_2,4250,15154,0.2804540055430909,4250,0.2804540055430909,15154
2,0.0,I_3,3560,15156,0.23489047242016364,2192,0.14462918975983108,5052
2,0.0,I_4,3031,15156,0.19998680390604381,1312,0.08656637635259963,2526
2,0.02851598715557264,I_5,2471,15160,0.1629947229551451,819,0.05402374670184697,1516
2,0.0,I_6,2007,15165,0.13234421364985163,566,0.0373227827233762,1011
2,0.050870578245404766,I_2,4238,15154,0.2796621354097928,4238,0.2796621354097928,15154
2,0.0,I_3,3628,15156,0.23937714436526789,2231,0.14720242808128794,5052
2,0.0,I_4,2967,15156,0.19576405384006335,1290,0.08511480601741885,2526
2,0.0,I_5,2590,15160,0.170844327176781,847,0.05587071240105541,1516
2,0.0,I_6,1897,15165,0.12509066930431917,537,0.03541048466864491,1011
2,0.050870578245404766,I_2,4228,15154,0.27900224363204434,4228,0.27900224363204434,15154
2,0.0,I_3,3641,15156,0.24023489047242017,2212,0.14594879915544998,5052
2,0.050870578245404766,I_4,3041,15156,0.20064660860385325,1310,0.08643441541303774,2526
2,0.0,I_5,2637,15160,0.17394459102902374,871,0.05745382585751979,1516
2,0.0,I_6,1968,15165,0.1297725024727992,555,0.036597428288822946,1011
2,0.07934705870787548,I_2,4141,15154,0.27326118516563286,4141,0.27326118516563286,15154
2,0.0,I_3,3570,15156,0.23555027711797308,2204,0.14542095539720243,5052
2,0.0,I_4,3053,15156,0.2014383742412246,1327,0.0875560833993138,2526
2,0.0,I_5,2418,15160,0.15949868073878629,817,0.05389182058047493,1516
2,0.0,I_6,1871,15165,0.1233761951862842,529,0.034882954170787996,1011
3,0.5073037032110417,I_2,4107,15154,0.2710175531212881,4107,0.2710175531212881,15154
3,0.1659785309521541,I_3,3351,15156,0.22110055423594616,2335,0.1540643969385062,5052
3,0.05344252024739008,I_4,2865,15156,0.18903404592240697,1456,0.09606756400105569,2526
3,0.026713901718178123,I_5,2529,15160,0.16682058047493403,980,0.06464379947229551,1516
3,0.1126704508827227,I_6,2333,15165,0.1538410814375206,717,0.04727992087042532,1011
3,0.408782757292274,I_2,4061,15154,0.26798205094364524,4061,0.26798205094364524,15154
3,0.08011207530542203,I_3,3206,15156,0.21153338611770917,2258,0.14898390076537346,5052
3,0.10678133338890819,I_4,2902,15156,0.19147532330430192,1456,0.09606756400105569,2526
3,0.053412889081288356,I_5,2579,15160,0.17011873350923482,965,0.06365435356200527,1516
3,0.08011207530542203,I_6,2186,15165,0.14414770853939993,688,0.04536762281569403,1011
3,0.2947659577945827,I_2,4060,15154,0.2679160617658704,4060,0.2679160617658704,15154
3,0.14785639325360883,I_3,3291,15156,0.21714172604908946,2287,0.15089733438902084,5052
3,0.04726629762067823,I_4,2847,15156,0.18784639746634996,1455,0.09600158353127475,2526
3,0.0,I_5,2498,15160,0.16477572559366754,981,0.06470976253298152,1516
3,0.0,I_6,2233,15165,0.14724695021430925,699,0.04609297725024728,1011
3,0.283999978628303,I_2,3981,15154,0.26270291672165763,3981,0.26270291672165763,15154
3,0.21539039840210167,I_3,3292,15156,0.21720770651887042,2333,0.15393243599894432,5052
3,0.026713901718178123,I_4,2949,15156,0.19457640538400633,1475,0.09732119292689365,2526
3,0.08008224659528623,I_5,2726,15160,0.17981530343007915,1028,0.06781002638522428,1516
3,0.07392093832364227,I_6,2276,15165,0.15008242664029015,693,0.0456973293768546,1011
3,0.3233583959372881,I_2,4060,15154,0.2679160617658704,4060,0.2679160617658704,15154
3,0.17667698856276368,I_3,3227,15156,0.212918975983109,2256,0.14885193982581155,5052
3,0.053442520247390074,I_4,2901,15156,0.191409342834521,1481,0.09771707574557931,2526
3,0.05341298851180008,I_5,2478,15160,0.16345646437994724,977,0.06444591029023747,1516
3,0.100589895428221,I_6,2262,15165,0.14915924826904056,698,0.046027035938015166,1011
4,1.1880019944562807,I_2,3941,15020,0.26238348868175765,3941,0.26238348868175765,15020
4,0.8507964659304926,I_3,3213,15021,0.21390053924505692,2404,0.16004260701684309,5007
4,0.4348885244045313,I_4,2744,15024,0.18264110756123536,1548,0.10303514376996806,2504
4,0.1893731707916039,I_5,2473,15020,0.16464713715046606,1044,0.06950732356857524,1502
4,0.3745766132919212,I_6,2330,15030,0.1550232867598137,761,0.050632069194943445,1002
4,1.3251292692587946,I_2,4024,15020,0.26790945406125166,4024,0.26790945406125166,15020
4,0.6915401125163254,I_3,3171,15021,0.2111044537647294,2366,0.15751281539178483,5007
4,0.3038966647224854,I_4,2669,15024,0.17764909478168264,1499,0.09977369542066028,2504
4,0.27019433347856514,I_5,2440,15020,0.16245006657789615,1061,0.07063914780292943,1502
4,0.3948656208204967,I_6,2217,15030,0.1475049900199601,771,0.05129740518962076,1002
4,1.3179582703791497,I_2,4063,15020,0.27050599201065245,4063,0.27050599201065245,15020
4,0.9738807492591888,I_3,3299,15021,0.21962585713334665,2415,0.16077491511883363,5007
4,0.6160630270223023,I_4,2838,15024,0.18889776357827476,1574,0.104765708200213,2504
4,0.33785090060709916,I_5,2534,15020,0.16870838881491346,1084,0.07217043941411451,1502
4,0.13827753736423076,I_6,2314,15030,0.15395874916833,782,0.0520292747837658,1002
4,1.189064861366674,I_2,3885,15020,0.25865512649800265,3885,0.25865512649800265,15020
4,0.8711232221614735,I_3,3189,15021,0.21230277611344117,2393,0.15931029891485254,5007
4,0.3760497693249948,I_4,2907,15024,0.19349041533546327,1586,0.10556443024494143,2504
4,0.2977027088038026,I_5,2498,15020,0.16631158455392808,1067,0.07103861517976032,1502
4,0.36837073018263966,I_6,2292,15030,0.15249500998003993,785,0.052228875582168995,1002
4,1.2895803606565515,I_2,3982,15020,0.2651131824234354,3982,0.2651131824234354,15020
4,0.6258994316549614,I_3,3171,15021,0.2111044537647294,2352,0.15658078689834232,5007
4,0.5416884096527043,I_4,2877,15024,0.19149361022364217,1564,0.10410010649627263,2504
4,0.5559721906073856,I_5,2581,15020,0.1718375499334221,1093,0.07276964047936085,1502
4,0.11296842087205734,I_6,2180,15030,0.14504324683965403,760,0.05056553559547571,1002
5,2.221315482198985,I_2,3999,15154,0.26389072192160484,3999,0.26389072192160484,15154
5,1.6224553911444168,I_3,3079,15156,0.20315386645552916,2417,0.1594747954605437,5052
5,1.172379425469448,I_4,2767,15156,0.18256795988387436,1612,0.10636051728688309,2526
5,1.1788057627127568,I_5,2501,15160,0.16497361477572559,1149,0.07579155672823219,1516
5,1.1405808670571211,I_6,2272,15165,0.14981866139136168,820,0.054071876030333005,1011
5,1.8353576888571166,I_2,3920,15154,0.2586775768773921,3920,0.2586775768773921,15154
5,1.3158006517558283,I_3,3116,15156,0.2055951438374241,2430,0.16033254156769597,5052
5,0.8282039249449471,I_4,2635,15156,0.17385853787278965,1585,0.10457904460279757,2526
5,0.6858584837938896,I_5,2408,15160,0.15883905013192612,1110,0.07321899736147758,1516
5,0.7380336466596829,I_6,2287,15165,0.15080778107484338,816,0.05380811078140455,1011
5,1.709569608979797,I_2,3949,15154,0.2605912630328626,3949,0.2605912630328626,15154
5,1.2605507539645315,I_3,3061,15156,0.20196621799947215,2381,0.15709949854842967,5052
5,0.9590821412598268,I_4,2705,15156,0.17847717075745578,1593,0.10510688836104513,2526
5,0.9004987401008021,I_5,2421,15160,0.15969656992084433,1127,0.07434036939313984,1516
5,0.8154268699831774,I_6,2231,15165,0.14711506758984505,801,0.052818991097922846,1011
5,2.1313261154093692,I_2,3943,15154,0.26019532796621353,3943,0.26019532796621353,15154
5,1.7396180350812394,I_3,3115,15156,0.20552916336764318,2449,0.1615861704935339,5052
5,1.184242394680448,I_4,2734,15156,0.1803906043811032,1589,0.10484296648192135,2526
5,0.8607137197114604,I_5,2514,15160,0.1658311345646438,1127,0.07434036939313984,1516
5,0.8325097011845725,I_6,2247,15165,0.14817012858555886,787,0.05189581272667326,1011
5,1.6164978083675803,I_2,3940,15154,0.259997360432889,3940,0.259997360432889,15154
5,1.2374784402002044,I_3,3136,15156,0.206914753233043,2417,0.1594747954605437,5052
5,1.1552634382526923,I_4,2728,15156,0.17999472156241753,1587,0.10471100554235946,2526
5,0.8365403186387004,I_5,2413,15160,0.1591688654353562,1110,0.07321899736147758,1516
5,0.7579301890015712,I_6,2240,15165,0.14770853939993406,810,0.05341246290801187,1011
6,2.4496758127801073,I_2,3888,15154,0.25656592318859706,3888,0.25656592318859706,15154
6,2.3354395542541804,I_3,3052,15156,0.20137239377144364,2434,0.16059646344681974,5052
6,2.018342492905422,I_4,2768,15156,0.18263394035365532,1654,0.10913169701768277,2526
6,1.7753008138248094,I_5,2437,15160,0.16075197889182058,1151,0.07592348284960422,1516
6,1.463607919758289,I_6,2249,15165,0.14830201121002307,840,0.05539070227497527,1011
6,2.7777398445679276,I_2,3938,15154,0.25986538207733934,3938,0.25986538207733934,15154
6,2.569937905626066,I_3,3111,15156,0.2052652414885194,2473,0.16316970176827658,5052
6,2.0156430740596187,I_4,2674,15156,0.1764317761942465,1635,0.10787806809184482,2526
6,1.3129168966287663,I_5,2366,15160,0.15606860158311345,1165,0.07684696569920844,1516
6,1.3691743183722163,I_6,2222,15165,0.14652159577975601,830,0.054731289152654135,1011
6,2.883913195454758,I_2,3884,15154,0.2563019664774977,3884,0.2563019664774977,15154
6,2.1815796694184386,I_3,3076,15156,0.20295592504618634,2449,0.1615861704935339,5052
6,2.0297451689001296,I_4,2636,15156,0.1739245183425706,1651,0.10893375560833993,2526
6,1.5764697018811507,I_5,2397,15160,0.15811345646437994,1146,0.07559366754617414,1516
6,1.291470680333546,I_6,2213,15165,0.145928123969667,833,0.05492911308935048,1011
6,2.802671623255922,I_2,3890,15154,0.25669790154414673,3890,0.25669790154414673,15154
6,2.1837193242160904,I_3,3093,15156,0.2040775930324624,2483,0.16382950646608604,5052
6,1.5988739033733843,I_4,2678,15156,0.1766956980733703,1631,0.10761414621272103,2526
6,1.4996930716539862,I_5,2357,15160,0.15547493403693932,1135,0.07486807387862797,1516
6,1.3117367390353305,I_6,2202,15165,0.14520276953511374,854,0.05631388064622486,1011
6,2.6568816387952037,I_2,3967,15154,0.26177906823280983,3967,0.26177906823280983,15154
6,2.4877218040845954,I_3,3066,15156,0.20229612034837688,2434,0.16059646344681974,5052
6,1.9491021645025624,I_4,2713,15156,0.17900501451570336,1647,0.10866983372921615,2526
6,1.4397885111683182,I_5,2329,15160,0.15362796833773087,1145,0.07552770448548812,1516
6,1.3064985083417864,I_6,2157,15165,0.14223541048466865,828,0.05459940652818991,1011
7,3.4559458354169488,I_2,3888,15020,0.2588548601864181,3888,0.2588548601864181,15020
7,3.0826178448016095,I_3,2994,15021,0.1993209506690633,2425,0.16144064975700687,5007
7,2.7289196669306777,I_4,2592,15024,0.17252396166134185,1640,0.10915867944621938,2504
7,2.5836630063572934,I_5,2280,15020,0.151797603195739,1147,0.07636484687083889,1502
7,2.3247772370611455,I_6,2142,15030,0.14251497005988023,843,0.0560878243512974,1002
7,3.4464233420223023,I_2,3805,15020,0.2533288948069241,3805,0.2533288948069241,15020
7,2.7476326537529787,I_3,3008,15021,0.2002529791625058,2450,0.16310498635243992,5007
7,2.7581367921698066,I_4,2626,15024,0.17478700745473907,1648,0.10969116080937168,2504
7,2.828125156828615,I_5,2381,15020,0.1585219707057257,1171,0.07796271637816245,1502
7,2.0100730107192124,I_6,2171,15030,0.14444444444444443,850,0.056553559547571526,1002
7,3.3481731267153365,I_2,3918,15020,0.26085219707057256,3918,0.26085219707057256,15020
7,3.1199976706045485,I_3,2920,15021,0.19439451434658145,2411,0.16050862126356435,5007
7,2.4723181984943294,I_4,2520,15024,0.16773162939297126,1628,0.10835995740149094,2504
7,2.201434347436105,I_5,2314,15020,0.1540612516644474,1148,0.07643142476697737,1502
7,2.2276188930936787,I_6,2159,15030,0.14364604125083166,846,0.0562874251497006,1002
7,3.312017107871152,I_2,3902,15020,0.25978695073235686,3902,0.25978695073235686,15020
7,3.1984755063926347,I_3,2965,15021,0.19739032021836095,2408,0.1603089008721124,5007
7,2.6582811186123334,I_4,2603,15024,0.17325612353567624,1658,0.11035676251331203,2504
7,2.446177792988465,I_5,2340,15020,0.15579227696404793,1178,0.07842876165113183,1502
7,2.2902446721734484,I_6,2123,15030,0.14125083166999336,849,0.05648702594810379,1002
7,3.367053123969469,I_2,3769,15020,0.25093209054593874,3769,0.25093209054593874,15020
7,2.875302031224474,I_3,2988,15021,0.19892150988615936,2435,0.16210638439518008,5007
7,2.8857139238354033,I_4,2561,15024,0.17046059637912672,1640,0.10915867944621938,2504
7,2.1262764862146466,I_5,2321,15020,0.15452729693741676,1158,0.07709720372836218,1502
7,2.295993323456319,I_6,2175,15030,0.14471057884231536,845,0.05622089155023287,1002
